route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
92,T24_RO-2-31,0,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,T24_RO-2-31,1,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,T24_RO-2-31,10,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,T24_RO-2-31,100,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,ETE_MV-2-32,1000,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
503,EL_BL-2-31,10000,Liérout SAINT-PIERRE-LÈS-ELBEUF,0,,,
503,EL_BL-2-31,10001,Liérout SAINT-PIERRE-LÈS-ELBEUF,0,,,
503,EL_BL-2-31,10002,Liérout SAINT-PIERRE-LÈS-ELBEUF,0,,,
503,EL_BL-2-31,10003,Liérout SAINT-PIERRE-LÈS-ELBEUF,0,,,
503,EL_BL-2-31,10004,Liérout SAINT-PIERRE-LÈS-ELBEUF,0,,,
503,EL_BL-2-31,10005,Liérout SAINT-PIERRE-LÈS-ELBEUF,0,,,
503,EL_MV-2-32,10006,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10007,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10008,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10009,Les Arches ELBEUF,1,,,
92,ETE_MV-2-32,1001,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
503,EL_MV-2-32,10010,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10011,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10012,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10013,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10014,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10015,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10016,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10017,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10018,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10019,Les Arches ELBEUF,1,,,
92,ETE_MV-2-32,1002,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
503,EL_JA-2-63,10020,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10021,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10022,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10023,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10024,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10025,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10026,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10027,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10028,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10029,Les Arches ELBEUF,1,,,
92,ETE_MV-2-32,1003,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
503,EL_BL-2-31,10030,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10031,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10032,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10033,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10034,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10035,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10036,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10037,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10038,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10039,Les Arches ELBEUF,1,,,
92,ETE_MV-2-32,1004,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
503,EL_MV-2-32,10040,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10041,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10042,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10043,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10044,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10045,Les Arches ELBEUF,1,,,
503,EL_MV-2-32,10046,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10047,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10048,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10049,Les Arches ELBEUF,1,,,
92,ETE_MV-2-32,1005,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
503,EL_JA-2-63,10050,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10051,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10052,Les Arches ELBEUF,1,,,
503,EL_JA-2-63,10053,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10054,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10055,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10056,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10057,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10058,Les Arches ELBEUF,1,,,
503,EL_BL-2-31,10059,Les Arches ELBEUF,1,,,
92,ETE_MV-2-32,1006,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
503,EL_BL-2-31,10060,Les Arches ELBEUF,1,,,
504,EL_JA-2-31,10061,Mairie CLÉON,0,,,
504,EL_JA-2-31,10062,Mairie CLÉON,0,,,
504,EL_JA-2-31,10063,Mairie CLÉON,0,,,
504,EL_JA-2-31,10064,Mairie CLÉON,0,,,
504,EL_JA-2-31,10065,Mairie CLÉON,0,,,
504,EL_JA-2-31,10066,Mairie CLÉON,0,,,
504,EL_JA-2-31,10067,Mairie CLÉON,0,,,
504,EL_JA-2-31,10068,Mairie CLÉON,0,,,
504,EL_JA-2-31,10069,Mairie CLÉON,0,,,
92,ETE_MV-2-32,1007,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
504,EL_JA-2-31,10070,Mairie CLÉON,0,,,
504,EL_JA-2-31,10071,Mairie CLÉON,0,,,
504,EL_JA-2-31,10072,Mairie CLÉON,0,,,
504,EL_JA-2-31,10073,Mairie CLÉON,0,,,
504,EL_JA-2-31,10074,Mairie CLÉON,0,,,
504,EL_JA-2-31,10075,Mairie CLÉON,0,,,
504,EL_JA-2-31,10076,Mairie CLÉON,0,,,
504,EL_JA-2-31,10077,Mairie CLÉON,0,,,
504,EL_JA-2-31,10078,Mairie CLÉON,0,,,
504,EL_BL-2-31,10079,Mairie CLÉON,0,,,
92,ETE_MV-2-32,1008,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
504,EL_BL-2-31,10080,Mairie CLÉON,0,,,
504,EL_BL-2-31,10081,Mairie CLÉON,0,,,
504,EL_BL-2-31,10082,Mairie CLÉON,0,,,
504,EL_BL-2-31,10083,Mairie CLÉON,0,,,
504,EL_BL-2-31,10084,Mairie CLÉON,0,,,
504,EL_BL-2-31,10085,Mairie CLÉON,0,,,
504,EL_BL-2-31,10086,Mairie CLÉON,0,,,
504,EL_BL-2-31,10087,Mairie CLÉON,0,,,
504,EL_BL-2-31,10088,Mairie CLÉON,0,,,
504,EL_BL-2-31,10089,Mairie CLÉON,0,,,
92,ETE_MV-2-32,1009,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
504,EL_BL-2-31,10090,Mairie CLÉON,0,,,
504,EL_BL-2-31,10091,Mairie CLÉON,0,,,
504,EL_BL-2-31,10092,Mairie CLÉON,0,,,
504,EL_BL-2-31,10093,Mairie CLÉON,0,,,
504,EL_BL-2-31,10094,Mairie CLÉON,0,,,
504,EL_BL-2-31,10095,Mairie CLÉON,0,,,
504,EL_BL-2-31,10096,Mairie CLÉON,0,,,
504,EL_JA-2-31,10097,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10098,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10099,Moulin Saint-Etienne ELBEUF,1,,,
92,T24_RO-2-31,101,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,ETE_MV-2-32,1010,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
504,EL_JA-2-31,10100,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10101,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10102,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10103,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10104,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10105,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10106,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10107,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10108,Moulin Saint-Etienne ELBEUF,1,,,
504,EL_JA-2-31,10109,Moulin Saint-Etienne ELBEUF,1,,,
92,ETE_MV-2-32,1011,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
